platform,id,title,text,score,created_date,author,url
twitter,1937887233455120759,@janninereid1 ASk for some kind of doubletallskinn...,"@janninereid1 ASk for some kind of doubletallskinnymocha starbucks order? Sorry, I've never been to a starbucks to get coffee so I do not know the language. I know how to make it at home. Where else can freaks like this work? NOT a circus, scare all the animals!!!!!",0,2025-06-25 14:54:55+00:00,1182060434590859270,https://twitter.com/i/status/1937887233455120759
twitter,1937887220784103514,When that overzealous team manager sees you walk i...,When that overzealous team manager sees you walk in late with a Starbucks in your hand #hr #hrhumor https://t.co/tcR5Nz04hV,0,2025-06-25 14:54:52+00:00,34787622,https://twitter.com/i/status/1937887220784103514
twitter,1937886887814869271,@baal248869 So get off twitter put down your starb...,@baal248869 So get off twitter put down your starbucks and go dismantle it🙄,0,2025-06-25 14:53:32+00:00,1764895279403167744,https://twitter.com/i/status/1937886887814869271
twitter,1937886832571601381,@aanime_f0rever @BernieSanders @ZohranKMamdani Yes...,@aanime_f0rever @BernieSanders @ZohranKMamdani Yesss!! And my wh-re house on every corner I’m going to be the Starbucks of prostitution in New York! I’m taking applications for sex workers starting immediately!,0,2025-06-25 14:53:19+00:00,1727655942546698240,https://twitter.com/i/status/1937886832571601381
twitter,1937886812174708762,@GMuentzer @butterblaster20 It’s after the old mem...,"@GMuentzer @butterblaster20 It’s after the old meme of a man drinking coffee at a Starbucks with no phone, no laptop, no headphones, just sitting there drinking a cup of coffee…like a sociopath.",0,2025-06-25 14:53:14+00:00,18444411,https://twitter.com/i/status/1937886812174708762
twitter,1937886727064125779,@ChichiBanshofan Well Starbucks is popular over Ja...,"@ChichiBanshofan Well Starbucks is popular over Japan 

And they got some pretty good stuff on the menu compared to america https://t.co/u8KK0Dm25J",0,2025-06-25 14:52:54+00:00,578610802,https://twitter.com/i/status/1937886727064125779
twitter,1937886720080437683,"I must’ve hit the jackpot today. First no A/C, the...","I must’ve hit the jackpot today. First no A/C, then no coffee, now fire alarms going off at Starbucks.
I’m done. Heading home. https://t.co/3ed5qFva31",0,2025-06-25 14:52:52+00:00,1926302454389350400,https://twitter.com/i/status/1937886720080437683
twitter,1937886279930433665,"@JacketNation I’d actually go to Starbucks. 

I’d ...","@JacketNation I’d actually go to Starbucks. 

I’d ensure the shitty, over-roasted coffee for some laughs.",0,2025-06-25 14:51:07+00:00,1680697367438282753,https://twitter.com/i/status/1937886279930433665
twitter,1937886267800166810,@TrumpVVon Toilet cleaning in a Starbucks,@TrumpVVon Toilet cleaning in a Starbucks,0,2025-06-25 14:51:05+00:00,1871134476903800832,https://twitter.com/i/status/1937886267800166810
twitter,1937886135755112609,@JohnMcCloy @JackPosobiec They will gladly get in ...,"@JohnMcCloy @JackPosobiec They will gladly get in the trucks that will take them to ""Starbucks"". New York is gone.",0,2025-06-25 14:50:33+00:00,1396265805331922946,https://twitter.com/i/status/1937886135755112609
twitter,1937886072995770568,"Refreshing Tea Meets Ice Cream Rolls! | ASMR

You ...","Refreshing Tea Meets Ice Cream Rolls! | ASMR

You won’t believe how Starbucks Refreshing Tea - Strawberry &amp; Blackcurrant makes Ice Cream Rolls even more satisfying! Watch as I create the ultimate rolled ice cream with this delicious tea blend – it’s a match made in frozen heaven. https://t.co/XEV9pZhROU",0,2025-06-25 14:50:18+00:00,760834146042318848,https://twitter.com/i/status/1937886072995770568
twitter,1937886067736322198,@notgiaaaa sandwich is 360!! thnk god starbucks ha...,@notgiaaaa sandwich is 360!! thnk god starbucks has nutrition info,0,2025-06-25 14:50:17+00:00,1898851115124527104,https://twitter.com/i/status/1937886067736322198
twitter,1937886016477761635,o Starbucks é ridículo de caro no aeroporto ne que...,o Starbucks é ridículo de caro no aeroporto ne que isso,0,2025-06-25 14:50:05+00:00,222602527,https://twitter.com/i/status/1937886016477761635
